image,gender,occasion,full_body,lower_body,upper_body,outerwear,colour_bottom,colour_top,neckline,upper_body_length,lower_body_length,closure_type,sleeve_length,full_body_bbox,upper_body_bbox,lower_body_bbox,age_group,age,cluster,validation_type
Travel44,female,Travel,,jeans,shirt_blouse,,navy,purple,round_neck,hip_length,full_length,button,three_quarter,,"[153.24417, 192.57646, 312.69006, 380.2453]","[170.897, 350.686, 289.6589, 609.00146]",21-25,22,2,rule_based
Travel364,female,Travel,dress,,,,,white,round_neck,knee_length,,pullover,three_quarter,"[198.23257, 159.43295, 472.84015, 907.7276]",,,16-20,20,1,rule_based
dating (392),male,Dating,,pants/trousers,sweater,blazer,navy,white,turtleneck,hip_length,full_length,button,long,,"[147.57304, 107.85417, 404.2814, 428.60797]","[201.95569, 377.3089, 386.9181, 776.25226]",21-25,25,0,rule_based
Travel69,male,Travel,,shorts,t_shirt,,pink,grey,round_neck,hip_length,thigh_length,pullover,short,,"[173.13628, 150.43886, 314.17822, 315.26035]","[189.22992, 302.2238, 296.51196, 393.35977]",31-40,39,0,rule_based
office345,female,Office,,pants/trousers,top_others,,white,white,round_neck,hip_length,full_length,pullover,sleeveless,,"[82.262405, 203.45218, 265.66428, 703.3849]","[33.735584, 452.95258, 107.75111, 669.85913]",26-30,28,2,random_check
Travel417,male,Travel,,shorts,t_shirt,,white,blue,round_neck,hip_length,thigh_length,pullover,short,,"[182.23022, 71.51844, 307.54407, 216.82063]","[330.90094, 92.93048, 424.00162, 198.31252]",31-40,31,0,rule_based
prom152,female,Prom,dress,,,,,pink,off_shoulder,below_knee,,pullover,sleeveless,"[58.01908, 371.5617, 891.1518, 1582.3589]",,,16-20,20,1,rule_based
party (217),female,Party,,pants/trousers,top_others,,black,black,v_neck,hip_length,full_length,pullover,long,,"[147.36993, 145.64453, 363.05792, 365.52856]","[174.47627, 243.54037, 311.6757, 553.3528]",16-20,20,2,rule_based
Travel439,female,Travel,,pants/trousers,t_shirt,,white,navy,round_neck,hip_length,full_length,pullover,short,,"[159.71323, 203.22057, 296.14404, 381.16888]","[149.18028, 341.94778, 261.67517, 543.5839]",16-20,20,2,rule_based
dating (19),female,Dating,,skirt,shirt_blouse,,white,white,round_neck,crop,thigh_length,pullover,short,,"[439.55618, 287.2422, 940.153, 952.1316]","[379.4818, 393.75327, 540.87256, 720.4766]",26-30,28,2,rule_based
party (95),male,Party,,jeans,t_shirt,,blue,white,turtleneck,hip_length,full_length,pullover,long,,"[264.51465, 132.35556, 538.86255, 517.4912]","[286.7771, 448.93546, 484.60043, 795.86084]",21-25,22,0,rule_based
Travel160,male,Travel,,shorts,shirt_blouse,,white,blue,collar,hip_length,knee_length,button,short,,"[113.15367, 217.38243, 333.27872, 455.4622]","[90.46017, 426.3241, 275.9881, 530.95496]",31-40,35,0,rule_based
wedding (137),male,Wedding,,pants/trousers,top_others,,white,multi,collar,hip_length,full_length,button,long,,"[59.037067, 92.559906, 390.55453, 449.8764]","[199.0209, 469.10547, 318.03998, 628.83704]",16-20,20,0,rule_based
wedding (52),male,Wedding,,pants/trousers,shirt_blouse,,navy,white,collar,hip_length,full_length,button,long,,"[159.75603, 217.87793, 359.34283, 454.3026]","[211.65498, 381.1526, 354.69907, 702.7152]",26-30,27,0,random_check
Travel154,male,Travel,,athletic_pants,t_shirt,jacket,black,black,round_neck,hip_length,full_length,pullover,long,,"[118.76106, 112.33789, 345.83875, 352.3286]","[165.345, 303.0769, 285.91647, 529.14136]",21-25,24,0,rule_based
Travel133,male,Travel,,shorts,shirt_blouse,,white,black,collar,hip_length,knee_length,button,short,,"[160.80986, 140.7629, 325.04944, 374.31943]","[156.36417, 219.99187, 286.02185, 436.35806]",31-40,36,0,random_check
Travel235,female,Travel,,pants/trousers,top_others,,black,blue,round_neck,hip_length,full_length,pullover,three_quarter,,"[236.28175, 157.1993, 694.85425, 637.1664]","[280.64084, 599.764, 789.5139, 1288.0]",16-20,19,2,random_check
dating (149),female,Dating,dress,,,,,red,v_neck,thigh_length,,button,sleeveless,"[278.57996, 264.27405, 762.9547, 1144.4032]",,,26-30,30,1,rule_based
office127,male,Office,,pants/trousers,shirt_blouse,,navy,white,collar,hip_length,full_length,button,long,,"[141.28043, 98.1271, 373.213, 350.02972]","[186.31679, 299.4754, 364.05954, 719.84326]",26-30,26,0,rule_based
dating (402),male,Dating,,jeans,sweatshirt_hoodies,jacket,black,red,hooded,hip_length,full_length,button,long,,"[127.72427, 96.398094, 474.3741, 355.49673]","[201.9621, 325.77924, 354.82047, 686.7937]",21-25,25,0,rule_based
party (12),male,Party,,pants/trousers,shirt_blouse,coat,pink,white,collar,hip_length,full_length,pullover,long,,"[103.128525, 62.096443, 220.91069, 220.29497]","[129.45648, 165.35785, 207.33875, 375.86304]",16-20,19,0,random_check
wedding (113),male,Wedding,,pants/trousers,shirt_blouse,coat,black,black,collar,hip_length,full_length,button,long,,"[140.06995, 155.22496, 353.9208, 389.0737]","[158.35944, 326.01706, 308.36804, 636.21985]",26-30,27,0,random_check
party (20),male,Party,,jeans,shirt_blouse,jacket,black,black,collar,hip_length,full_length,pullover,long,,"[280.30685, 124.230286, 533.50824, 561.61206]","[349.8825, 461.63852, 533.8566, 822.9706]",21-25,22,0,rule_based
Travel82,male,Travel,,jeans,shirt_blouse,jacket,navy,white,round_neck,hip_length,full_length,pullover,three_quarter,,"[132.20755, 123.59046, 340.84854, 386.26688]","[181.34195, 379.61725, 314.73877, 603.2714]",21-25,25,0,rule_based
Travel39,female,Travel,,skirt,top_others,,brown,brown,round_neck,hip_length,full_length,pullover,sleeveless,,"[109.096405, 182.92561, 318.0341, 640.59814]","[156.62286, 631.5664, 223.73734, 698.59656]",21-25,22,2,rule_based
wedding (107),male,Wedding,,pants/trousers,top_others,coat,white,multi,collar,hip_length,full_length,button,long,,"[139.69035, 105.86623, 339.15643, 451.58118]","[165.81752, 339.94946, 331.46597, 511.47067]",16-20,18,0,rule_based
party (268),male,Party,,jeans,t_shirt,jacket,white,white,round_neck,hip_length,full_length,pullover,long,,"[110.35799, 118.501144, 303.24524, 349.47827]","[140.4883, 311.5475, 249.84444, 536.8527]",21-25,22,0,rule_based
dating (430),male,Dating,,jeans,shirt_blouse,,white,blue,collar,hip_length,full_length,button,three_quarter,,"[144.20737, 137.78821, 321.21396, 281.29523]","[190.17781, 281.9296, 312.15573, 522.7188]",21-25,22,0,rule_based
wedding (6),male,Wedding,,pants/trousers,shirt_blouse,coat,navy,navy,collar,hip_length,full_length,button,long,,"[41.651176, 57.998493, 200.24794, 209.51439]","[98.01835, 172.91945, 179.16592, 325.0]",26-30,26,0,rule_based
wedding (241),female,Wedding,dress,,,,,multi,halter_neck,knee_length,,pullover,sleeveless,"[171.14699, 121.69895, 331.3001, 527.5837]",,,26-30,26,1,rule_based
dating (85),female,Dating,dress,,,,,multi,v_neck,thigh_length,,pullover,long,"[530.26575, 321.68027, 799.1814, 701.79565]",,,21-25,23,1,random_check
office106,male,Office,,pants/trousers,shirt_blouse,,brown,blue,collar,hip_length,full_length,button,three_quarter,,"[95.3353, 54.374973, 237.09517, 203.02249]","[108.64691, 191.67828, 203.38469, 374.81668]",26-30,29,0,rule_based
Travel110,female,Travel,,shorts,top_others,,blue,black,round_neck,hip_length,extra_short,pullover,sleeveless,,"[279.7819, 158.21234, 321.60413, 371.0849]","[198.57452, 158.49692, 294.7726, 313.72485]",26-30,28,1,rule_based
Travel238,female,Travel,,shorts,t_shirt,cardigan,blue,white,round_neck,hip_length,extra_short,pullover,short,,"[93.94568, 99.23512, 352.98605, 510.10028]","[156.61311, 359.8469, 280.47226, 476.96548]",31-40,31,2,rule_based
Travel137,male,Travel,,shorts,t_shirt,,green,green,collar,hip_length,knee_length,pullover,short,,"[121.86733, 314.64386, 235.93665, 454.00647]","[135.91347, 442.3033, 237.6774, 540.20056]",31-40,32,0,rule_based
office143,male,Office,,pants/trousers,sweater,,red,brown,hooded,hip_length,full_length,pullover,long,,"[289.04285, 127.32844, 632.2898, 566.7074]","[308.46405, 515.3472, 555.6589, 996.51245]",26-30,27,0,rule_based
office041,male,Office,,pants/trousers,shirt_blouse,,navy,pink,collar,hip_length,full_length,button,short,,"[439.73422, 280.71597, 763.0179, 630.8831]","[367.6088, 570.2293, 664.80444, 1163.4296]",31-40,37,0,rule_based
office048,male,Office,,jeans,sweatshirt_hoodies,,black,black,hooded,hip_length,full_length,pullover,long,,"[270.3078, 62.06259, 537.20105, 435.12518]","[220.22884, 379.6448, 420.39697, 630.9649]",31-40,39,0,rule_based
party (337),female,Party,,pants/trousers,top_others,,black,white,round_neck,hip_length,thigh_length,pullover,sleeveless,,"[240.29282, 201.56494, 476.9245, 536.61816]","[229.86636, 462.701, 572.378, 1119.1545]",26-30,27,2,rule_based
Travel400,male,Travel,,athletic_pants,t_shirt,,white,grey,round_neck,hip_length,full_length,pullover,short,,"[158.91345, 157.62631, 297.59598, 303.0071]","[162.31003, 279.60583, 292.36685, 514.5601]",31-40,39,0,rule_based
prom140,female,Prom,dress,,,,,red,round_neck,below_knee,,pullover,sleeveless,"[66.463684, 192.11261, 699.6482, 1149.4193]",,,16-20,16,1,rule_based
Travel247,female,Travel,,shorts,top_others,,blue,black,round_neck,hip_length,thigh_length,pullover,sleeveless,,"[346.3302, 441.8236, 897.2404, 1066.3075]","[417.96463, 962.5591, 893.1213, 1327.2948]",26-30,28,1,rule_based
office261,female,Office,,athletic_pants,top_others,,grey,grey,round_neck,crop,full_length,pullover,long,,"[275.93143, 302.03192, 649.81714, 720.918]","[307.47162, 570.87244, 684.99915, 1231.9414]",31-40,37,2,rule_based
Travel370,female,Travel,,leggings,t_shirt,,black,pink,round_neck,hip_length,full_length,pullover,long,,"[268.58508, 275.4421, 647.80383, 771.6076]","[231.70488, 302.63562, 482.3526, 1031.6251]",21-25,25,2,rule_based
wedding (112),male,Wedding,,pants/trousers,shirt_blouse,blazer,white,pink,collar,hip_length,full_length,button,long,,"[167.94402, 152.29486, 344.62366, 404.03125]","[194.67294, 345.13766, 329.31055, 625.32837]",26-30,26,0,rule_based
Sports417,female,Sports,,leggings,tank_top,,black,black,round_neck,crop,full_length,pullover,sleeveless,,"[104.13664, 337.82156, 422.45056, 598.20416]","[98.718445, 625.3352, 468.71237, 1080.0]",16-20,19,3,rule_based
office042,male,Office,,pants/trousers,shirt_blouse,blazer,grey,white,collar,hip_length,full_length,button,three_quarter,,"[193.91309, 140.39761, 476.1385, 504.04022]","[191.67383, 410.96017, 408.53223, 814.6133]",26-30,30,0,random_check
Sports292,female,Sports,,leggings,tank_top,,black,black,round_neck,crop,calf_length,pullover,sleeveless,,"[88.09765, 48.14159, 123.84816, 79.71347]","[84.729485, 96.0971, 132.5918, 202.29106]",16-20,17,3,rule_based
office439,female,Office,,leggings,top_others,jacket,black,grey,round_neck,thigh_length,full_length,pullover,long,,"[103.61489, 86.49823, 252.09685, 302.6229]","[115.40478, 304.71362, 226.86923, 496.30463]",31-40,40,2,random_check
office075,male,Office,,pants/trousers,shirt_blouse,,grey,navy,collar,hip_length,full_length,pullover,short,,"[63.89726, 71.090385, 216.98936, 232.30728]","[84.06008, 226.17296, 209.44046, 521.1062]",31-40,33,0,rule_based
party (14),female,Party,jump_suit,,,,,blue,round_neck,below_knee,,pullover,sleeveless,"[261.83966, 260.20175, 544.6769, 1038.8566]",,,21-25,21,1,rule_based
wedding (56),male,Wedding,,pants/trousers,shirt_blouse,coat,grey,grey,collar,hip_length,full_length,button,long,,"[60.54326, 155.03836, 312.86758, 519.64764]","[132.79317, 445.00208, 307.27167, 795.3437]",26-30,26,0,rule_based
party (87),female,Party,,shorts,top_others,,brown,brown,off_shoulder,crop,extra_short,pullover,sleeveless,,"[191.09903, 155.15001, 297.6234, 234.19022]","[182.2992, 233.49353, 293.21313, 351.8676]",21-25,21,1,rule_based
dating (391),male,Dating,,jeans,t_shirt,coat,black,grey,collar,thigh_length,full_length,button,long,,"[128.97493, 177.33185, 292.27042, 407.76956]","[166.75803, 314.8188, 260.58575, 520.52]",21-25,25,0,random_check
prom068,male,Prom,,pants/trousers,shirt_blouse,blazer,black,red,collar,hip_length,full_length,button,long,,"[131.46062, 89.25677, 326.07153, 316.7875]","[167.83215, 261.67822, 296.2657, 549.0629]",16-20,17,0,rule_based
office295,female,Office,,jeans,top_others,cardigan,white,multi,round_neck,hip_length,full_length,pullover,long,,"[303.53403, 221.03687, 789.39496, 839.2177]","[363.88763, 699.7702, 682.37225, 1228.3564]",31-40,32,2,rule_based
dating (296),female,Dating,,skirt,t_shirt,,multi,black,round_neck,hip_length,knee_length,pullover,short,,"[340.44305, 208.6481, 717.6375, 504.107]","[356.77994, 453.94052, 713.03705, 862.3776]",26-30,30,3,rule_based
party (340),female,Party,,pants/trousers,top_others,,black,black,off_shoulder,crop,full_length,pullover,sleeveless,,"[322.93118, 326.35062, 437.0957, 355.25122]","[263.71643, 389.52887, 491.60568, 895.48236]",21-25,24,2,rule_based
office151,male,Office,,jeans,shirt_blouse,blazer,navy,blue,collar,hip_length,full_length,button,long,,"[264.37103, 177.07603, 562.8464, 597.6813]","[332.62164, 494.5155, 520.9915, 951.6052]",31-40,39,0,rule_based
office048,male,Office,,jeans,sweatshirt_hoodies,,black,black,hooded,hip_length,full_length,pullover,long,,"[270.3078, 62.06259, 537.20105, 435.12518]","[220.22884, 379.6448, 420.39697, 630.9649]",31-40,39,0,rule_based
Sports358,female,Sports,,leggings,tank_top,,blue,grey,round_neck,hip_length,full_length,pullover,sleeveless,,"[430.0235, 229.96094, 676.2031, 706.1976]","[432.66507, 615.38947, 761.039, 1137.2124]",16-20,19,3,rule_based
wedding (32),male,Wedding,,pants/trousers,shirt_blouse,,black,white,collar,hip_length,full_length,button,long,,"[134.9104, 131.16206, 333.8717, 343.52554]","[171.41661, 326.408, 301.70935, 631.7943]",26-30,28,0,random_check
party (66),female,Party,dress,,,,,silver,round_neck,below_knee,,zip,sleeveless,"[97.443115, 127.205536, 391.00247, 693.55426]",,,21-25,23,1,rule_based
Travel26,female,Travel,play_suit,,tank_top,,,blue,round_neck,thigh_length,,pullover,sleeveless,"[202.84792, 164.59818, 315.71393, 372.83615]",,,26-30,28,1,rule_based
Travel76,male,Travel,,jeans,sweatshirt_hoodies,,black,green,hooded,hip_length,full_length,pullover,long,,"[172.60045, 104.01649, 354.9917, 360.63327]","[198.0429, 347.28253, 302.1803, 649.30786]",21-25,24,0,rule_based
office293,female,Office,,skirt,top_others,,black,orange,v_neck,hip_length,thigh_length,pullover,sleeveless,,"[315.3339, 353.0826, 666.1862, 881.594]","[349.82147, 690.7132, 690.9849, 1195.5283]",26-30,30,1,rule_based
dating (127),female,Dating,dress,,,,,white,halter_neck,thigh_length,,pullover,sleeveless,"[334.905, 391.20267, 754.62366, 1112.4788]",,,26-30,28,1,rule_based
Travel138,female,Travel,,jeans,t_shirt,,navy,black,round_neck,hip_length,full_length,pullover,short,,"[104.799324, 148.24751, 351.95248, 500.5793]","[143.81497, 393.1291, 317.13544, 766.95465]",16-20,17,3,rule_based
wedding (172),female,Wedding,dress,,,,,pink,round_neck,below_knee,,pullover,short,"[35.547386, 83.21462, 345.91116, 512.16925]",,,31-40,33,1,rule_based
Travel157,male,Travel,,pants/trousers,shirt_blouse,,white,white,collar,hip_length,full_length,button,three_quarter,,"[137.0664, 157.89677, 313.71143, 349.0371]","[186.48834, 314.78845, 290.277, 523.25476]",16-20,20,0,random_check
party (226),male,Party,,jeans,sweater,coat,black,multi,round_neck,hip_length,full_length,pullover,long,,"[196.99268, 90.9405, 385.23257, 415.37567]","[215.91801, 307.22562, 332.67142, 537.69464]",16-20,19,0,rule_based
dating (295),female,Dating,,jeans,t_shirt,,blue,green,round_neck,hip_length,full_length,pullover,long,,"[372.5835, 418.2675, 456.34314, 756.0384]","[435.9479, 549.32367, 664.95685, 1135.3635]",21-25,22,2,rule_based
party (8),female,Party,,shorts,top_others,,black,gold,v_neck,hip_length,thigh_length,pullover,sleeveless,,"[225.71193, 132.92131, 340.2522, 265.67017]","[234.2892, 231.94566, 359.9261, 349.9092]",26-30,29,1,rule_based
Sports252,female,Sports,,shorts,t_shirt,,grey,grey,round_neck,crop,thigh_length,pullover,short,,"[176.6129, 323.20074, 539.3873, 622.0075]","[196.99748, 602.56934, 526.85944, 960.4949]",16-20,20,3,random_check
wedding (89),male,Wedding,,pants/trousers,top_others,vest_waistcoat,white,multi,collar,thigh_length,full_length,button,long,,"[117.79025, 179.09067, 325.30606, 388.71368]","[180.71292, 445.59326, 274.88998, 616.0987]",16-20,18,0,random_check
Sports156,male,Sports,,shorts,tank_top,,black,grey,round_neck,hip_length,knee_length,pullover,sleeveless,,"[236.31824, 381.08307, 399.5576, 645.37]","[248.17058, 598.5748, 401.87762, 745.1961]",16-20,17,3,rule_based
wedding (83),male,Wedding,,pants/trousers,top_others,vest_waistcoat,black,multi,collar,knee_length,full_length,button,long,,"[124.05121, 88.967926, 269.75204, 316.97452]","[129.47441, 385.5031, 172.2261, 459.70847]",16-20,20,0,rule_based
wedding (53),male,Wedding,,pants/trousers,shirt_blouse,blazer,white,grey,collar,hip_length,full_length,button,long,,"[73.416534, 156.99051, 354.84302, 517.2426]","[87.886604, 451.4067, 279.92236, 710.99994]",26-30,28,0,random_check
office312,female,Office,,shorts,top_others,,blue,green,round_neck,hip_length,thigh_length,pullover,short,,"[229.12115, 270.99805, 665.7215, 741.445]","[231.03511, 657.59875, 517.6057, 864.6657]",31-40,40,2,random_check
office347,female,Office,,pants/trousers,shirt_blouse,,pink,blue,collar,hip_length,full_length,button,sleeveless,,"[314.68735, 241.12854, 520.87244, 475.95544]","[302.8779, 461.2893, 515.60583, 1030.3458]",26-30,30,0,rule_based
party (4),male,Party,,jeans,t_shirt,coat,black,black,turtleneck,hip_length,full_length,pullover,long,,"[35.457954, 112.68929, 278.8207, 520.071]","[61.628258, 370.61102, 236.61061, 679.91437]",21-25,22,0,rule_based
Travel248,female,Travel,,shorts,t_shirt,,white,multi,round_neck,hip_length,extra_short,pullover,three_quarter,,"[111.945114, 159.08145, 230.0286, 477.8044]","[173.36882, 162.02158, 372.18784, 420.502]",16-20,19,2,rule_based
wedding (69),male,Wedding,,pants/trousers,top_others,blazer,black,multi,collar,hip_length,full_length,button,long,,"[45.766415, 97.97899, 238.24472, 393.1329]","[75.93494, 349.6213, 263.06717, 563.23224]",16-20,16,0,rule_based
wedding (137),male,Wedding,,pants/trousers,top_others,,white,multi,collar,hip_length,full_length,button,long,,"[59.037067, 92.559906, 390.55453, 449.8764]","[199.0209, 469.10547, 318.03998, 628.83704]",16-20,20,0,rule_based
office332,female,Office,,athletic_pants,top_others,,black,pink,v_neck,hip_length,full_length,pullover,long,,"[406.81552, 250.70264, 683.3356, 580.11334]","[479.89008, 481.7592, 672.7241, 881.0769]",31-40,39,2,random_check
wedding (227),female,Wedding,dress,,,,,blue,turtleneck,below_knee,,pullover,long,"[143.51682, 130.62144, 303.92477, 551.2141]",,,26-30,30,1,rule_based
Travel500,male,Travel,,shorts,shirt_blouse,,navy,blue,collar,hip_length,knee_length,button,three_quarter,,"[162.13855, 183.4789, 314.10715, 369.32428]","[153.83057, 188.03682, 226.87698, 485.32004]",26-30,26,0,rule_based
party (130),female,Party,,skirt,top_others,,grey,black,round_neck,thigh_length,thigh_length,pullover,long,,"[99.829025, 99.1719, 194.7972, 194.72392]","[108.432274, 240.13472, 168.62978, 360.71893]",16-20,17,2,rule_based
Sports309,female,Sports,,leggings,t_shirt,,pink,grey,round_neck,hip_length,full_length,pullover,short,,"[377.323, 174.4889, 638.8696, 407.8241]","[389.30762, 404.0298, 654.6123, 889.3313]",16-20,17,3,rule_based
dating (365),male,Dating,,jeans,t_shirt,jacket,black,grey,collar,hip_length,full_length,button,long,,"[208.83426, 167.57498, 377.61618, 387.88123]","[239.56946, 363.9768, 397.82828, 598.27893]",21-25,21,0,rule_based
party (2),female,Party,jump_suit,,,,,purple,halter_neck,below_knee,,pullover,sleeveless,"[206.13503, 205.11975, 436.496, 693.5455]",,,21-25,25,1,random_check
party (171),female,Party,dress,leggings,,,black,yellow,round_neck,thigh_length,full_length,zip,sleeveless,"[97.934074, 89.61988, 210.20874, 452.69553]",,,21-25,23,3,rule_based
wedding (167),female,Wedding,dress,,,,,multi,turtleneck,below_knee,,pullover,long,"[158.06068, 71.91302, 344.7531, 565.8981]",,,26-30,28,1,rule_based
party (163),female,Party,dress,,,,,purple,turtleneck,below_knee,,zip,long,"[105.51689, 84.72039, 213.93454, 288.45306]",,,21-25,21,1,rule_based
wedding (353),female,Wedding,,skirt,t_shirt,,green,black,round_neck,hip_length,full_length,pullover,long,,"[150.30853, 149.87927, 324.96872, 350.78625]","[170.27872, 256.18558, 338.92715, 621.00555]",31-40,37,3,rule_based
Sports147,male,Sports,,shorts,t_shirt,,grey,grey,round_neck,hip_length,knee_length,pullover,long,,"[142.79625, 113.83706, 352.66965, 360.47046]","[168.6929, 339.77573, 319.5158, 452.99304]",16-20,19,0,random_check
wedding (134),male,Wedding,,pants/trousers,top_others,vest_waistcoat,white,multi,collar,hip_length,full_length,button,long,,"[142.01694, 258.40155, 331.66382, 582.3925]","[145.01598, 546.38544, 321.76642, 699.98596]",16-20,20,0,rule_based
Travel299,female,Travel,jump_suit,,,,,grey,round_neck,below_knee,,pullover,sleeveless,"[401.6129, 317.15146, 710.13947, 1434.3555]",,,26-30,30,1,rule_based
wedding (161),female,Wedding,dress,,,,,multi,halter_neck,below_knee,,pullover,sleeveless,"[119.628975, 98.73093, 311.005, 544.9055]",,,26-30,29,1,rule_based
Sports179,female,Sports,,athletic_pants,t_shirt,,navy,navy,round_neck,hip_length,full_length,pullover,long,,"[341.98013, 145.70885, 860.329, 771.4902]","[359.2611, 527.504, 653.26465, 1213.211]",16-20,20,3,rule_based
Travel162,female,Travel,dress,,,,,blue,v_neck,knee_length,,pullover,short,"[91.178566, 351.79916, 192.40526, 564.4311]",,,31-40,33,1,rule_based
Travel499,female,Travel,,leggings,tank_top,jacket,black,blue,round_neck,hip_length,full_length,pullover,long,,"[117.16618, 165.44202, 285.7883, 348.14365]","[146.73593, 229.36278, 260.57907, 494.7002]",21-25,25,2,rule_based
Travel281,female,Travel,,athletic_pants,t_shirt,,yellow,yellow,round_neck,hip_length,full_length,pullover,long,,"[372.06815, 185.99278, 674.52985, 494.4991]","[422.30463, 441.63, 731.25604, 931.6401]",21-25,23,2,rule_based
party (61),male,Party,,jeans,t_shirt,jacket,navy,navy,round_neck,hip_length,full_length,pullover,long,,"[104.75575, 84.32449, 330.9978, 381.8749]","[134.75389, 324.77435, 285.90915, 556.2718]",21-25,24,0,rule_based
office417,female,Office,,skirt,top_others,,grey,grey,turtleneck,hip_length,knee_length,pullover,long,,"[174.24423, 61.607933, 325.4038, 388.6563]","[143.17728, 275.92188, 260.42242, 480.45486]",26-30,27,2,random_check
Travel222,female,Travel,,shorts,top_others,cardigan,blue,pink,v_neck,hip_length,extra_short,pullover,sleeveless,,"[802.0841, 416.43747, 1421.1682, 1256.5242]","[1322.1624, 729.6412, 1481.8187, 1291.718]",26-30,30,2,random_check
Sports223,female,Sports,,shorts,sweatshirt_hoodies,,multi,multi,hooded,hip_length,extra_short,zip,sleeveless,,"[330.6877, 357.66992, 788.99146, 1060.0363]","[351.99133, 755.28094, 792.1306, 1093.8611]",16-20,17,3,rule_based
Travel163,male,Travel,,jeans,t_shirt,blazer,navy,grey,round_neck,hip_length,full_length,pullover,long,,"[186.73811, 190.418, 321.42624, 368.59857]","[126.50997, 334.788, 209.80905, 575.0261]",21-25,22,0,rule_based
Travel148,male,Travel,,shorts,shirt_blouse,,white,navy,collar,hip_length,knee_length,button,short,,"[148.95395, 128.74782, 336.81912, 367.47427]","[174.64711, 349.54327, 366.0104, 492.3131]",31-40,37,0,rule_based
party (223),male,Party,,jeans,sweater,jacket,black,blue,round_neck,hip_length,full_length,pullover,long,,"[150.43289, 220.02809, 501.10477, 608.8774]","[231.90799, 597.1319, 457.71307, 1016.3032]",21-25,24,0,rule_based
office323,female,Office,,shorts,t_shirt,,black,white,round_neck,hip_length,extra_short,pullover,three_quarter,,"[125.91032, 267.4067, 533.5368, 638.83014]","[225.7235, 326.2296, 466.96152, 660.3843]",26-30,26,2,rule_based
Travel189,female,Travel,dress,,,,,green,v_neck,thigh_length,,pullover,short,"[465.0979, 528.1604, 1192.3352, 1594.7102]",,,31-40,33,1,rule_based
dating (234),female,Dating,dress,,,,,multi,v_neck,below_knee,,pullover,short,"[137.37245, 252.0491, 716.439, 1294.1735]",,,31-40,39,1,rule_based
wedding (273),female,Wedding,dress,,,,,black,halter_neck,below_knee,,pullover,sleeveless,"[157.45422, 313.21912, 356.17728, 704.44006]",,,26-30,27,1,rule_based
dating (67),female,Dating,dress,,,,,black,off_shoulder,thigh_length,,pullover,short,"[407.4477, 223.43967, 783.0683, 987.3728]",,,31-40,40,1,rule_based
Travel35,female,Travel,dress,,,coat,black,black,round_neck,below_knee,,pullover,three_quarter,"[123.268295, 180.41803, 336.53644, 618.58014]",,,16-20,19,1,random_check
dating (427),male,Dating,,jeans,sweater,,navy,grey,collar,hip_length,full_length,pullover,long,,"[163.58919, 161.78676, 365.53983, 426.28564]","[200.05003, 416.07147, 355.34146, 747.59045]",21-25,23,0,rule_based
Travel473,male,Travel,,shorts,shirt_blouse,,multi,white,collar,hip_length,knee_length,button,long,,"[69.2144, 107.01872, 305.2847, 414.41672]","[112.17932, 389.87448, 296.4137, 509.9397]",26-30,29,0,random_check
wedding (258),female,Wedding,dress,,,,,multi,collar,thigh_length,,pullover,short,"[102.4049, 195.12436, 396.42273, 531.95654]",,,31-40,32,1,rule_based
party (360),female,Party,,skirt,top_others,,black,black,v_neck,hip_length,thigh_length,pullover,sleeveless,,"[187.88887, 194.2737, 383.007, 426.93787]","[169.47462, 404.2488, 413.45142, 682.4552]",26-30,28,1,rule_based
Travel396,male,Travel,,shorts,t_shirt,,multi,green,v_neck,hip_length,knee_length,pullover,three_quarter,,"[154.44882, 122.31056, 400.32526, 398.40958]","[371.6864, 409.52188, 481.9922, 650.9332]",26-30,27,0,rule_based
Travel396,male,Travel,,shorts,t_shirt,,multi,green,v_neck,hip_length,knee_length,pullover,three_quarter,,"[154.44882, 122.31056, 400.32526, 398.40958]","[371.6864, 409.52188, 481.9922, 650.9332]",26-30,27,0,rule_based
party (40),male,Party,,jeans,t_shirt,jacket,black,black,collar,hip_length,full_length,pullover,long,,"[138.90063, 94.65303, 332.44946, 353.0133]","[161.71204, 316.52472, 321.83344, 649.9772]",21-25,24,0,rule_based
Travel214,female,Travel,dress,,,,,green,round_neck,below_knee,,button,sleeveless,"[352.4357, 274.29245, 629.8724, 819.8653]",,,26-30,27,1,rule_based
wedding (295),female,Wedding,dress,,,,,multi,off_shoulder,thigh_length,,pullover,long,"[122.78176, 128.97896, 286.836, 449.82516]",,,26-30,30,1,rule_based
dating (173),female,Dating,dress,,,,,blue,v_neck,knee_length,,pullover,short,"[394.87384, 380.53983, 645.0537, 928.76263]",,,31-40,32,1,rule_based
dating (468),male,Dating,,jeans,t_shirt,,black,white,collar,hip_length,full_length,pullover,short,,"[151.91629, 266.52997, 394.39166, 541.67474]","[165.99867, 513.1898, 347.95673, 900.6758]",21-25,25,0,rule_based
Travel38,male,Travel,,jeans,t_shirt,,navy,navy,round_neck,hip_length,full_length,pullover,three_quarter,,"[196.27353, 208.45781, 378.50842, 391.4253]","[239.55992, 370.86307, 392.70822, 591.4764]",21-25,21,0,random_check
office123,male,Office,,pants/trousers,shirt_blouse,,black,white,collar,hip_length,full_length,button,long,,"[83.578064, 70.44707, 248.21703, 271.59195]","[114.66335, 206.87946, 242.9142, 477.5853]",26-30,26,0,rule_based
